278.176516,38.668392,0.03
76.864168,45.868306,0.08
77.13264,-8.347746,0.18
113.189606,5.544263,0.4
23.264715,-57.872145,0.45
87.100962,7.381738,0.45
208.755392,-59.768374,0.61
296.170983,8.539726,0.76
184.915243,-62.405939,0.77
67.18724,16.256047,0.87
199.652298,-10.508087,0.98
245.436254,-26.152429,1.06
114.415953,28.326195,1.16
342.685028,-30.284167,1.17
309.292638,44.834484,1.25
190.108207,-59.004973,1.25
217.775187,-60.328672,1.35
150.428243,12.577396,1.36
103.428225,-28.803262,1.5
111.655302,32.161554,1.58
186.060825,-56.412933,1.59
261.28066,-37.010001,1.62
79.606632,6.234608,1.64
79.597574,28.499634,1.65
137.95511,-69.202498,1.67
82.467592,-1.283583,1.69
330.086434,-47.565137,1.73
83.612726,-2.010583,1.74
121.419868,-46.969036,1.75
192.131041,56.638814,1.76
273.9687,-34.441063,1.79
48.851567,49.414357,1.79
164.000473,62.424475,1.81
105.827089,-26.196046,1.83
205.65312,49.937931,1.85
124.986636,-59.107891,1.86
262.084861,-42.915441,1.86
87.589758,44.932133,1.9
248.861769,-68.794289,1.91
97.623953,16.504775,1.93
130.312319,-54.25083,1.93
303.936478,-57.13315,1.94
18.246608,88.642569,1.97
94.298661,-17.895399,1.98
140.361017,-8.117791,1.99
30.032317,22.870266,2.01
153.269369,20.473086,2.01
9.328526,-18.673075,2.04
281.878386,-26.449685,2.05
209.832941,-35.753766,2.06
0.482092,28.4002,2.07
222.772364,74.666429,2.07
15.684303,34.957254,2.07
85.456961,-9.715731,2.07
338.798538,-47.53748,2.07
262.283355,12.652505,2.08
45.010233,40.472411,2.09
29.05812,41.728792,2.1
175.670599,15.270767,2.14
12.294276,60.039335,2.15
188.657685,-48.273269,2.2
138.435819,-58.751425,2.21
119.797712,-39.652005,2.21
232.348772,27.136611,2.22
199.722195,55.578713,2.23
304.435499,39.857492,2.23
135.849669,-42.928738,2.23
268.425886,51.504387,2.24
8.355893,55.851451,2.24
81.405037,-0.393551,2.25
0.629233,58.460234,2.28
238.235915,-22.263554,2.29
202.994375,-52.829872,2.29
250.517358,-34.063929,2.29
218.406254,-46.84974,2.3
216.894212,-41.607256,2.33
163.571299,57.052012,2.34
219.88186,27.602292,2.35
324.511515,9.302815,2.38
263.460251,-38.962865,2.39
